,track_name,final_track_name,clustered_track_name,pianist,mbz_id
602,Mr PC,mr pc,mr pc,Tommy Flanagan,af2114fc-f3d6-41e0-acfc-a81a45ccf756
603,Time to Go,time to go,time to go,Kenny Barron,b45e15af-3b60-4981-8c18-116706bf3f66
604,Blues on Purpose,blues on purpose,blues on purpose,Wynton Kelly,d7b51e00-57f5-46f5-a18b-b002b2c97960
605,Moonglow,moonglow,moonglow,Teddy Wilson,e7b049eb-2e46-425d-bb09-8645120413b1
606,Riff Primitif alternate,riff primitif,riff primitif,Herbie Nichols,09499016-302b-43ce-8f81-a4a8188dd9b3
607,Yesterdays,yesterdays,yesterdays,John Hicks,8a89257c-c54f-40b6-9d7d-9975df212dec
608,No Greater Love,no greater love,no greater love,Kenny Drew,321d8806-747f-4120-be12-03ab6fd6bedf
609,You Go to My Head,you go to my head,you go to my head,Ahmad Jamal,5a0737d3-713f-4a97-b2b0-daac07b5d61c
610,Summer Night,summer night,summer night,Keith Jarrett,8e6eef5d-1116-4049-886a-8474b771f96d
611,My Romance,my romance,my romance,Bill Evans,bbecc473-4e8f-451f-90c8-fd45288292cd
612,Santa Claus Is Coming to Town,santa claus is coming to town,santa claus is coming to town,Paul Bley,6917dfd6-f0b6-4349-a141-5daad59b2cba
613,Tonight,tonight,tonight,Oscar Peterson,8f6ee111-fbc8-426e-8dc1-ba683ccb82c5
614,Invitation,invitation,invitation,Ahmad Jamal,faed8682-80de-444d-aaba-0f8685df9529
615,Matrix,matrix,matrix,Chick Corea,c2f9300b-dac6-4a90-b6e4-e558008c68bd
616,Time Remembered,time remembered,time remembered,Bill Evans,a4651094-59fa-4c16-bacb-8c364b1e3387
617,Rifftide,oh lady be good,oh lady be good,Bud Powell,8a86e370-95b2-48d1-8346-7664ab9f2b7f
618,Bouncing With Bud,bouncin with bud,bouncing with bud,Keith Jarrett,47cf6e4e-2ac8-487f-b601-9200220c1432
619,Lets Call This,lets call this,lets call this,Cedar Walton,a164ef08-fd07-4bc6-9c96-d6c5e0257140
620,Blues in the Night,blues in the night,blues in the night,Red Garland,330c4cff-e432-4a4b-96a1-bbedc2c586a6
621,Whisper Not,whisper not,whisper not,Oscar Peterson,aa3ac076-266b-4a61-94df-f44f99de87ed
622,Autumn Leaves,autumn leaves,autumn leaves,Wynton Kelly,6319a440-224d-4525-bbd8-a448b23b97da
623,CC Rider,cc rider,cc rider,Junior Mance,0053e25d-b9cb-4ad2-b9e8-cd1c2d19735d
624,Where Are You,where are you,where are you,Ahmad Jamal,a1295aa8-78ab-4234-a8a9-f05c1916d2d8
625,Criss Cross,criss cross,criss cross,Thelonious Monk,a6e77c4c-3650-4cbe-92e7-36081c5148dc
626,My One and Only Love,my one and only love,my one and only love,Chick Corea,3bb85aae-b49d-4153-a6f3-096f24d222e9
627,Yesterdays,yesterdays,yesterdays,McCoy Tyner,47615333-1e3b-41a7-a8ba-56f9f2eac7a4
628,Minor Blues,minor blues,minor blues,Kenny Barron,3fb01967-312a-4973-aae5-28f116ae09c5
629,Who Can I Turn to When Nobody Needs Me,who can i turn to,who can i turn to when nobody needs me,Bill Evans,47bfd9aa-1d86-4630-83f9-9f29dd4f0f31
630,On Green Dolphin Street,green dolphin street,green dolphin street,Bill Evans,72d00b1a-2e3e-49c1-8c82-8b7e080d140a
631,My Romance take 1,my romance,my romance,Bill Evans,7ed07e0f-8408-4ea8-9148-d52be3db566f
632,Dukes Place,dukes place,dukes place,John Hicks,a9d320e9-1fcc-4fc1-b54b-2b93a07bb4ae
633,SeeSaw,seesaw,seesaw,Bill Evans,166c480f-4084-491d-a32a-8c899b0e9940
634,Between the Devil and the Deep Blue Sea,between the devil and the deep blue sea,between the devil and the deep blue sea,Tommy Flanagan,5a08555f-2783-4483-a2c0-191d4797de20
635,Lady Bird,ladybird,lady bird,Bud Powell,cee6681b-4548-4ef9-aeba-4764790a0886
636,Jim Loves Sue,jim loves sue,jim loves sue,Ahmad Jamal,70df27c6-f6bd-463d-990c-de5e3e187999
637,Autumn Leaves,autumn leaves,autumn leaves,Bill Evans,902d3125-5eab-4c81-b504-975ca7a8a841
638,Softly as in a Morning Sunrise,softly as in a morning sunrise,softly as in a morning sunrise,Wynton Kelly,a8d2ab35-339d-4294-b33f-c811b9a43088
639,This Could Be the Start of Something,this could be the start of something,this could be the start of something,Oscar Peterson,100456a9-cadf-4ba4-872a-29810e965b27
640,Aint Thinkin Bout It,aint thinkin bout it,aint thinkin bout it,Bobby Timmons,0e1d574b-6339-4c31-b3d3-fc445c48a1fb
641,Bluesville,bluesville,bluesville,Cedar Walton,9a3c61ec-b259-45ca-b73e-4592ea967955
642,Too Close for Comfort,too close for comfort,too close for comfort,Herbie Nichols,6d4160e6-6509-4428-b6bd-e3e4d12e3eb4
643,Cleopatras Dream,cleopatras dream,cleopatras dream,Hank Jones,8b30faab-13d0-49c8-911a-5cc2cb665395
644,But Beautiful Part 2,but beautiful,but beautiful part,Chick Corea,e2bf15c3-779a-438a-bbf0-cc21a0917b5f
645,Confirmation,twilight time,twilight time,Hank Jones,54f05882-f686-49d4-b136-8c7536cfe75f
646,Little Rootie Tootie,i got rhythm,i got rhythm,Chick Corea,d3f30523-47cc-42d6-8f6c-e7c4518c303f
647,ChiTown aka Gem,chitown aka gem,chitown aka gem,Ahmad Jamal,ff4c545f-2059-4406-8d3b-30c970fca1f8
648,Anatomy of a South African Village,anatomy of a south african village,anatomy of a south african village,Abdullah Ibrahim,4947254c-e127-4ff7-82e1-ff6157dcbb3e
649,My Foolish Heart,my foolish heart,my foolish heart,Keith Jarrett,c32e867c-686c-4536-aa4d-4fca60580cc7
650,Straight No Chaser,straight no chaser,straight no chaser,Bud Powell,41b3ca91-335e-4c04-b347-b65e0ea32f7a
651,Gone With the Wind,gone with the wind,gone with the wind,Bill Evans,a072b7f7-56ab-488e-ac02-9b8a99353891
652,The Gravy Waltz,the gravy waltz,the gravy waltz,Oscar Peterson,64869063-4c8c-49b4-bef7-21b3b33941dd
653,My Heart Stood Still complete take,my heart stood still,my heart stood still,Bill Evans,f4e4b057-3862-48e2-9e2d-a33d3b85f031
654,I Dont Care,i dont care,i dont care,Junior Mance,9b8e7b01-3bc8-4546-9baf-d1386cef18a2
655,Nice Work If You Can Get It,nice work if you can get it,nice work if you can get it,Oscar Peterson,28f4dc97-5ce4-4d25-9bf4-c5132439ffd5
656,Turn Out the Stars,turn out the stars,turn out the stars,Bill Evans,4d47b391-5f2a-4eb6-a9de-808f4fe8c145
657,Old Clothes,old clothes,old clothes,Wynton Kelly,a633bffb-2c42-4fef-a039-1aa305765ec0
658,In Your Own Sweet Way,in your own sweet way,in your own sweet way,Bill Evans,103a83ad-0be6-40ba-a5cc-30f937d76848
659,Impressions,so what,so what,Kenny Drew,d3d62740-f599-4423-80dc-294a514effb6
660,Moanin,moanin,moanin,Bobby Timmons,e9218583-7de8-4d76-9b8b-a472b06b02c4
661,Without a Song,without a song,without a song,Cedar Walton,290ad307-2e48-4d83-bffa-f4c224bb7158
662,In a Sentimental Mood,in a sentimental mood,in a sentimental mood,Bill Evans,ec166c8d-6d12-4644-8b98-628868ab50b7
663,Iki Masho Lets Go,iki masho lets go,iki masho lets go,McCoy Tyner,58959fe3-2b34-4ed2-803e-243650abe275
664,These Foolish Things,these foolish things,these foolish things,Thelonious Monk,ad50001b-3880-4fd3-a5b1-64b5925f1cd3
665,Sophisticated Lady,sophisticated lady,sophisticated lady,Chick Corea,85cb4d64-e3ef-4592-862c-d66d2b002f84
666,Up Jumped Spring,up jumped spring,up jumped spring,John Hicks,f56fc8b6-b5ac-463d-9566-8be423a10154
667,Introspection,introspection,introspection,Thelonious Monk,9d56d41d-339b-4718-b2a2-7a0d6bad1b0b
668,Sunspots,sunspots,sunspots,Kenny Drew,b0f96272-5d64-42a3-9b06-81977fa75d92
669,Love Walked In,love walked in,love walked in,Cedar Walton,c01b4664-0e9e-40a2-863e-141f197b2a41
670,Oleo,i got rhythm,i got rhythm,Keith Jarrett,76c37d00-28dc-49f5-8a09-62b922f68681
671,Mr Day,mr day,mr day,McCoy Tyner,49c7dac1-e883-46d7-8713-76b24614f28c
672,Fly Me To The Moon,fly me to the moon,fly me to the moon,Hampton Hawes,d7e34cc4-be1a-4442-839d-b9f9cb6d77bc
673,The Washington Twist,the washington twist,the washington twist,Bill Evans,fd72bdb9-e546-4602-98ee-3be5ce62d468
674,Autumn Leaves,autumn leaves,autumn leaves,Bill Evans,2955522b-d70a-4862-9359-397ca4ed2b1d
675,Alone Together,alone together,alone together,Kenny Drew,54d718b9-a347-4d92-a26a-65bf5e8dde36
676,Someday My Prince Will Come,someday my prince will come,someday my prince will come,Bill Evans,3e032117-19fb-49a1-b832-a41587dc30fc
677,Fly Me to the Moon,fly me to the moon,fly me to the moon,Oscar Peterson,53a13b46-2a93-44fe-82b2-30eb496bb89c
678,2300 Skidoo,2300 skidoo,skidoo,Herbie Nichols,93bca47b-422a-47cb-8343-1b9008fec300
679,Billies Bounce,billies bounce,billies bounce,Keith Jarrett,1218bb02-baa5-44b3-b84d-02f5e403353a
680,Like Someone in Love,like someone in love,like someone in love,McCoy Tyner,4909cf12-6a1e-4f78-9ce8-666069ba06a5
681,Four and Five,four and five,four and five,Kenny Drew,ac6f3c2b-15c9-4096-960f-58abbb1d689d
682,Turn Out the Stars,turn out the stars,turn out the stars,Bill Evans,e703b35a-0544-4661-a5aa-75a6b5ea65af
683,Salt Peanuts,i got rhythm,i got rhythm,Bud Powell,4acaf193-bdf2-4055-9418-e7feb0d1eca9
684,Theme for Ernie,theme for ernie,theme for ernie,McCoy Tyner,60aa6aca-6b1a-43ae-8630-71978fd37400
685,Portrait of Ucha,portrait of ucha,portrait of ucha,Herbie Nichols,11ad7139-cb01-423e-862f-3ae20489d94b
686,Take the a Train,take the a train,the a train,Junior Mance,6913794c-4a11-4625-b46c-f67b28acceda
687,Im Old Fashioned,im old fashioned,im old fashioned,Ahmad Jamal,3a0b86d3-6f0f-4487-9695-6a093814e4d5
688,Manhattan Studio,manhattan studio,manhattan studio,Lennie Tristano,da3a3de4-8fdc-4880-b349-33e667799af4
689,Honey,honey,honey,Abdullah Ibrahim,7318553e-31bb-42ae-a0c2-8fb4920908a1
690,Sonia,sonia,sonia,Sonny Clark,73cb7206-59d5-4fc6-8f34-5fccc1ace1d5
691,Turn Out the Stars,turn out the stars,turn out the stars,Bill Evans,7e8112aa-7274-46fc-9b41-5c6af74839ad
692,Sunday Stroll,sunday stroll,sunday stroll,Herbie Nichols,ac378ba8-d3ca-4951-a65e-5dd88d46cc6b
693,A Sleeping Bee,sleepin bee,sleepin bee,Bill Evans,a5216b01-3b17-4b49-8023-c99038d08290
694,All Day Long,all day long,all day long,Tommy Flanagan,5414fde2-a1a0-4f70-8a4e-cceeae4834e0
695,Autumn Leaves,autumn leaves,autumn leaves,Kenny Drew,23c5fddd-e165-476b-9afd-88fe4ed19f5d
696,Peris Scope,peris scope,peris scope,Bill Evans,7fb682d7-57eb-483d-8605-22f822d78253
697,Double Exposure alternate,double exposure,double exposure,Herbie Nichols,68b44e1d-282d-45e5-bcdf-5ac5b84b8366
698,Solar,solar,solar,Bill Evans,631fedbe-6aa7-4145-95a8-2f0480d37dbe
699,Gettin It Together,gettin it together,gettin it together,Bobby Timmons,707abce3-68f2-445f-87cc-45f5070eee80
700,All of You,all of you,all of you,Ahmad Jamal,6826bffc-453c-4d72-a993-c484c53652a2
701,Little One,little one,little one,Bobby Timmons,decaf257-36b2-4aa3-8bcf-2f87f6e30f03
702,Liza,liza,liza,Oscar Peterson,fd4117b5-a766-4245-b0fa-93caf12b2f9a
703,Close Your Eyes,close your eyes,close your eyes,Oscar Peterson,eb7c3a79-1720-4e8b-a6c1-3cb073dc6d94
704,London Blues,london blues,london blues,Lennie Tristano,34bb752a-6226-42b6-8857-05cd77878f24
705,On Green Dolphin Street,green dolphin street,green dolphin street,Ahmad Jamal,8ff3c6f7-f51c-4f69-b8c8-9c9af701a36d
706,Moose the Mooche,i got rhythm,i got rhythm,Bud Powell,8ada52df-5912-401c-aae4-d16ec21355e3
707,If You Only Knew,if you only knew,if you only knew,Benny Green,aedb80b3-393d-4729-8fa9-1fb3fcaa8700
708,Very Early,very early,very early,Bill Evans,1938f689-e25c-43eb-b7e5-84f4d013e18c
709,Namely You,namely you,namely you,Bobby Timmons,f8cc1d79-fb86-4b48-b363-d0cd9f225132
710,Someday My Prince Will Come,someday my prince will come,someday my prince will come,Bill Evans,f5c17cd1-2804-4fbf-b698-e3d7a228643b
711,Out South,out south,out south,Junior Mance,cc6a503c-f724-4eab-b0f5-670ebf0c2258
712,Step Tempest,step tempest,step tempest,Herbie Nichols,a3d65c7c-8e7a-4969-a90e-3338ed31656c
713,Days of Wine and Roses,days of wine roses,days of wine roses,Bill Evans,964c123f-a506-4879-8db7-b0ea0c9ede11
714,Ive Never Been in Love Before,ive never been in love before,ive never been in love before,Oscar Peterson,7a922956-d927-403e-a774-c07d1dff0b05
715,Lunacy,lunacy,lunacy,Kenny Barron,89316088-978f-4d66-96eb-18bd7fd09967
716,Song From MASH Suicide Is Painless,song from mash suicide is painless,song from mash suicide is painless,Bill Evans,819219e7-d681-4484-b3cd-00080fbf1a8c
717,The Days of Wine and Roses,days of wine roses,days of wine roses,Hampton Hawes,0afc41ef-99ec-481d-ad0d-cc1d06565fe2
718,It Didnt Happen alternate,it didnt happen,it didnt happen,Herbie Nichols,a1c88df8-8ff8-464e-a5c6-5e29b466849a
719,Crescent,crescent,crescent,McCoy Tyner,ab9da94a-a4f0-4c22-a940-d9a79b05419a
720,Sassy,sassy,sassy,Wynton Kelly,68c4f764-aaa9-41f1-bfc0-ba3c4abf6136
721,Kadotas Blues,kadotas blues,kadotas blues,Oscar Peterson,b0841295-c06c-4d68-b68c-fe038250ce11
722,London Blues,london blues,london blues,Brad Mehldau,45e1c5be-5eab-4d70-bc52-817a90791b8c
723,Drews Blues,drews blues,drews blues,Kenny Drew,4720f118-a925-49de-9f2e-03e0c6bcfa7f
724,Time Was,time was,time was,Kenny Barron,e12dbc39-379d-4836-9d0e-99a4173de4f4
725,Ghost of a Chance,ghost of a chance,ghost of a chance,Cedar Walton,5bbef424-64bc-417f-8338-4b1197127aab
726,A Little Barefoot Soul,a little barefoot soul,a little barefoot soul,Bobby Timmons,d4a5bd6f-bd33-4ec7-814e-d296dba1ce80
727,My Heart Stood Still,my heart stood still,my heart stood still,Oscar Peterson,da047a33-ca86-4494-8614-74ab8963a49d
728,Bleeker Street Team,bleeker street team,bleeker street team,Cedar Walton,9b45fd33-5018-4428-b2f8-258538a0b9a1
729,On Green Dolphin Street,green dolphin street,green dolphin street,Red Garland,b88d062a-3f43-4a7f-bef0-18f07bb9c632
730,Walkin Wadin Sittin Ridin,walkin wadin sittin ridin,walkin wadin sittin ridin,Bobby Timmons,67413066-1ccb-4131-ac90-9ba53096302a
731,The Partys Over,the partys over,the partys over,Bobby Timmons,39630781-3253-41f3-b97a-1cd0425bf090
732,Birdland Blues,birdland blues,birdland blues,Bud Powell,ac8da941-424d-4366-8e70-26344f05dfce
733,Days of Wine  Roses,days of wine roses,days of wine roses,Bill Evans,184322b8-a758-4cb2-bba6-adabafa3ed91
734,Satin Doll,satin doll,satin doll,Bud Powell,cf73bbe5-eeac-445a-b481-3c6c99a1d1f9
735,Applejackin,applejackin,applejackin,Herbie Nichols,334a71d8-deda-4ae6-bd7f-7ae65efee090
736,I Deal,i deal,i deal,John Hicks,c66ab8b5-c639-44e8-b739-12652ec1e2ee
737,Goin Way Blues,goin way blues,goin way blues,McCoy Tyner,a21f744b-10c4-4dda-b7c4-529282c44ffd
738,Ray of Light,ray of light,ray of light,Ahmad Jamal,6624a2f4-604e-4e3a-824f-df7bfc98a155
739,Johns Abbey,johns abbey,johns abbey,Bud Powell,57e5a8cc-b5fd-4eee-a6b0-314ad29f9464
740,Alice in Wonderland,alice in wonderland,alice in wonderland,Chick Corea,0439297c-2f23-46fb-93cd-f795c8b67824
741,I Aint Got Nobody,i aint got nobody,i aint got nobody,Red Garland,a3619e59-5058-4bbd-adc2-e026a3ca964b
742,California Here I Come,california here i come,california here i come,Bill Evans,5f34d7a9-424a-4b4d-964e-236a69e3a284
743,Theres a Boat Dats Leavin Soon for New York,theres a boat dats leavin soon for new york,theres a boat dats leavin soon for new york,Oscar Peterson,edc6c772-9c60-40e8-a310-9595a948b113
744,Deed I Do,deed i do,deed i do,Bill Evans,57707551-2a88-4a64-ae65-552f1b9ce4bc
745,117th Street,117th street,117th street,Herbie Nichols,c76cb0b9-54aa-42f9-8660-c4d25164bb93
746,Rouge Blues,rouge blues,rouge blues,Kenny Drew,1a5ea0d9-29c7-4d48-9a68-3ddb8b6311a9
747,Prayer,prayer,prayer,Kenny Barron,2e27b226-d04e-4441-9f84-387b25963035
748,Paris Lover,paris lover,paris lover,John Hicks,d20fa534-9fb3-465d-ac24-b01ffd9445a7
749,How Am I to Know,how am i to know,how am i to know,Bill Evans,888431a7-d818-42d0-a50e-af811ebaadad
750,Lennies Lines,lennies lines,lennies lines,Lennie Tristano,fc00b1f6-615f-4938-8109-96de915536a7
751,Turn Out the Stars,turn out the stars,turn out the stars,Bill Evans,d9368088-3e02-454b-b9ff-13d50384fa8b
752,Like Someone I Love,like someone in love,like someone i love,Bill Evans,62b3c57e-ef18-46d4-b171-ab751caaf2d5
753,Yours Is My Heart Alone,yours is my heart alone,yours is my heart alone,Oscar Peterson,ec29e4ea-74ad-4324-a79d-b123aeaa8d34
754,Who Can I Turn To When Nobody Needs Me,who can i turn to,who can i turn to when nobody needs me,Bill Evans,a5ebb859-a756-474e-89d9-e0881554b48a
755,Off Minor,off minor,off minor,Thelonious Monk,75d059f9-0649-4376-bb67-261c48bec246
756,SCrazy Pad,scrazy pad,scrazy pad,Herbie Nichols,7e875ba2-d704-44e9-be1f-b8356ef98fac
757,Lets,lets,lets,Tommy Flanagan,e953293b-1862-4318-8593-3d82e7d5d70a
758,What Is This Thing Called Love,what is this thing called love,what is this thing called love,Bill Evans,dd280ffb-d101-433c-96e9-785d0f79f6d8
759,The Best Thing for You,the best thing for you,the best thing for you,Bud Powell,2458b764-827f-478e-9d25-b601f7d47bec
760,Golden Earrings,golden earrings,golden earrings,Cedar Walton,ec16ac3d-e1d6-401f-8c42-7377d1801715
761,Angel Eyes,angel eyes,angel eyes,Ahmad Jamal,69a58683-2202-4058-89de-47cbae4805e6
762,The Dream,the dream,the dream,Abdullah Ibrahim,a7dbcfb9-a020-411b-b5a1-9b003598ecb7
763,Ill Remember April,ill remember april,ill remember april,Hank Jones,31ce3ec4-297c-4cce-bd59-7ea99ea835f8
764,Mean to Me,mean to me,mean to me,Lennie Tristano,c5c6e7a6-54c3-4093-90ca-2f6043417d6f
765,Compassion,compassion,compassion,Paul Bley,4bdba47d-7c38-4f4a-a1d7-eaebcd54fc6e
766,Nardis,nardis,nardis,Bill Evans,1a057fb9-2773-4a90-b163-441032c10955
767,My Romance,my romance,my romance,Dado Moroni,21fb6b42-0b8e-4060-86f9-04f13d52d11e
768,Do It the Hard Way,do it the hard way,do it the hard way,Kenny Drew,57d5f9d9-20ab-4255-9ea1-0417cfde694e
769,Soul Burnin,soul burnin,soul burnin,Red Garland,213dbfc7-2ade-44a9-81b7-6e9e0c96c73f
770,Honey Dripper,honey dripper,honey dripper,Oscar Peterson,b498d90e-0c4e-45ef-911f-a9ea2d6ebb32
771,Love Gloom Cash Love,love gloom cash love,love gloom cash love,Herbie Nichols,4be6365b-44ef-45bf-aca2-cee10cd26986
772,Solar,solar,solar,Red Garland,a821803c-f096-4aa8-83e8-7c2f8320cfbc
773,White Christmas,white christmas,white christmas,Bobby Timmons,48cf58ab-65dc-4a6d-aaea-b55e3e3d5163
774,This Here,this here,this here,Bobby Timmons,dad31e14-66db-4486-a96d-6f10d4c1491f
775,You Took Advantage of Me,you took advantage of me,you took advantage of me,Keith Jarrett,472cf272-2c5d-4542-acdd-68e8565ef11b
776,Nadja,nadja,nadja,Junior Mance,8ec1160d-d08e-438a-937a-305eefe119fe
777,Minor Perhaps,minor perhaps,minor perhaps,Tommy Flanagan,596c142e-4ec3-4f6d-a84f-c7a4d9c81caf
778,Barbados,barbados,barbados,Tommy Flanagan,55f53728-e4df-4dfc-b990-cef29f5df416
779,My Romance  Five,my romance,my romance five,Bill Evans,660626b4-3edf-4d78-83ce-0ef699bddede
780,Glorias Step take 1 interrupted,glorias step,glorias step,Bill Evans,af9c1ed7-0406-4411-a53e-32c5350c9bf8
781,Dat Dere,dat dere,dat dere,Hank Jones,54901a6d-1fe4-4f81-9256-9f86008dff89
782,St Louis Blues,st louis blues,st louis blues,Tommy Flanagan,b8ad6c4c-7d8d-4e23-b3d6-fd489938bcf3
783,Jackieing,jackieing,jackieing,Kenny Barron,6e5f5469-f0d0-4980-b59f-310ef6ebb3ea
784,The Newest Blues,the newest blues,the newest blues,Cedar Walton,e10c3edf-b380-4944-a6d2-9897dece3b63
785,Crazy Rhythm,crazy rhythm,crazy rhythm,Bud Powell,c8ac069c-e8b2-4bc3-90f7-0b902304a2a3
786,Like Someone in Love,like someone in love,like someone in love,Hank Jones,75081d2b-3d43-47e1-ab00-3c6ccfa8bc14
787,Thou Swell,thou swell,thou swell,Bud Powell,9e7cd854-f315-43bf-ba76-c3b11659d414
788,Angel Eyes,angel eyes,angel eyes,Ahmad Jamal,4d881dbd-2f13-4d99-83d9-8e8507bce265
789,Oh Lawd Im on My Way,oh lawd im on my way,oh lawd im on my way,Oscar Peterson,21b23016-087b-47a6-914f-5eb4eb9ba47e
790,Tour de Force,jeepers creepers,jeepers creepers,Kenny Barron,9d613861-319b-41f6-b1f5-9196529efcb7
791,Walkin Up,walkin up,walkin up,Bill Evans,cddc4839-9648-4cb3-8d01-40895cee0558
792,Hymn to Freedom,hymn to freedom,hymn to freedom,Oscar Peterson,c83d841f-38bf-4f4a-9542-1096c5216528
793,Nice Work If You Can Get It alternate take,nice work if you can get it,nice work if you can get it,Thelonious Monk,705f0b58-3bfe-4dd3-9014-0321f5a7e756
794,Hold It Down,hold it down,hold it down,John Hicks,fbd5eafb-9284-4f33-9051-69f6b73ffa5b
795,Monks Dream,monks dream,monks dream,McCoy Tyner,d2a55a69-c110-4d5c-b827-1401f31031f3
796,A Sleepin Bee,sleepin bee,sleepin bee,Bill Evans,b3e732de-6e41-4d48-ab7d-87a086dde253
797,With Malice Toward None,with malice toward none,with malice toward none,Tommy Flanagan,cf99c3f0-788a-4f78-b306-ecbb18bf9597
798,Santa Claus Is Coming to Town,santa claus is coming to town,santa claus is coming to town,Bill Evans,9adb51a4-186d-4003-8cf4-255acd5d1377
799,Blues on the Corner,blues on the corner,blues on the corner,McCoy Tyner,84888300-b036-43d2-97ca-2943698cf3bb
800,Youre Gonna Hear From Me alternate take,youre gonna hear from me,youre gonna hear from me,Bill Evans,32729f8c-3e26-4839-b145-19cf41f2642d
801,Saint Louis Blues,st louis blues,st louis blues,Teddy Wilson,0fbaab13-9750-4194-b586-ecf2dfa4dc57
802,Love for Sale,love for sale,love for sale,Oscar Peterson,df0db78a-88e3-4b68-aa72-44c49043fa30
803,Autumn Leaves Take 1,autumn leaves,autumn leaves,Bill Evans,5b72f569-8f8c-413e-a2b5-b51c706566c8
804,Like Someone in Love,like someone in love,like someone in love,Ahmad Jamal,16d2bf10-132a-4df6-b45c-30b7e39169b9
805,Nows the Time,nows the time,nows the time,Hank Jones,52c8d96b-2022-4290-9594-b7b4ece681c5
806,Be My Love,be my love,be my love,Kenny Drew,15d2c22f-a392-4e41-b92c-d7ff38a7e8e9
807,Make Someone Happy,make someone happy,make someone happy,Bill Evans,1f814ca8-5837-48db-abde-cfc0d70d9a9b
808,All the Things You Are,all the things you are,all the things you are,Keith Jarrett,c82aab89-ca2b-4211-842f-9c69583d03ca
809,There Will Never Be Another You,there will never be another you,there will never be another you,Lennie Tristano,c49739d9-fa78-4691-b7dd-4aa56e566080
810,Dat Dere,dat dere,dat dere,Bobby Timmons,9dbec53a-d93b-4acc-ae20-6f1e31dcc6e8
811,What Kind of Fool Am I,what kind of fool am i,what kind of fool am i,Bill Evans,0ea92825-8661-4ece-8a29-be1d04abeff0
812,When I Grow Too Old to Dream,when i grow too old to dream,when i grow too old to dream,Hampton Hawes,abeebf9e-878a-4be6-b875-7398b03336e1
813,Im Confessin,im confessin,im confessin,Kenny Barron,ac107146-4557-438d-ac7a-e746a6b59d2d
814,One for Majid,one for majid,one for majid,Keith Jarrett,c6319a09-eeca-4069-9605-e05466df4196
815,Somebodys Blues,somebodys blues,somebodys blues,Wynton Kelly,9cb17778-e0a5-42a0-bc3c-591b6d7b1e23
816,In Walked Bud,blue skies,blue skies,Stanley Cowell,bd72d7e1-c3cb-4a8b-bc1e-f6ff3fc1c4f8
817,Interface,interface,interface,Hank Jones,56f4aaf0-06ce-442b-a0a0-88abacac189c
818,Ill Close My Eyes,ill close my eyes,ill close my eyes,Keith Jarrett,c7066210-7f8a-45ff-ae69-3d4fde2016e4
819,34 Skidoo,34 skidoo,skidoo,Bill Evans,4ba2e414-3ec2-4c3d-b3d9-de122570dfeb
820,Not Too Straight,not too straight,not too straight,John Hicks,28891600-ef1e-4621-adab-20bea7f01c19
821,Lullaby in Ragtime,lullaby in ragtime,lullaby in ragtime,Kenny Drew,bb54f5b8-bd6d-4d37-b52d-549764496428
822,Honeysuckle Rose,honeysuckle rose,honeysuckle rose,Keith Jarrett,85766730-fea1-407a-9ee2-080771322df3
823,Doxy,ja da,ja da,Keith Jarrett,2aedbbc9-e3b1-46cb-b358-9f21d7bd5862
824,Wrap Your Troubles in Dreams And Dream Your Troubles Away,wrap your troubles in dreams,wrap your troubles in dreams,Bill Evans,a7f750ab-f857-4e9d-bb9d-ffa4a5d02799
825,Tater Pie,tater pie,tater pie,Ahmad Jamal,3d395a12-1079-4c55-905c-b4578e9b0e9d
826,Furthermore alternate 1,furthermore,furthermore,Herbie Nichols,539f4888-2c3f-48eb-a3c7-b88fb7c6c0eb
827,Speak Low,speak low,speak low,Ahmad Jamal,566dfdda-af0e-4be2-b869-c838f619c5cc
828,Come Dance With Me,come dance with me,come dance with me,Oscar Peterson,59a6e2f2-d97d-44f6-ae44-64e23557b498
829,Cousin Mary,cousin mary,cousin mary,Tommy Flanagan,3ab53d05-c1de-42a8-803a-b2d4076da72e
830,In Your Own Sweet Way,in your own sweet way,in your own sweet way,McCoy Tyner,81aa6670-c67b-4f73-b827-fcdc69d4d423
831,Song From MASH Suicide Is Painless,song from mash suicide is painless,song from mash suicide is painless,Bill Evans,ed6edc64-8f29-40c9-a036-6a24479a3eb4
832,Six and Four,six four,six four,Oscar Peterson,48fe2fc8-fcb6-4e9f-8c17-2414ce5c265f
833,My Melacholy Baby,my melancholy baby,my melacholy baby,Lennie Tristano,df6db3fc-51cb-4500-bcf7-cc8ffcde63ba
834,Bye Bye Blackbird,bye bye blackbird,bye bye blackbird,Keith Jarrett,bd0b6c14-65ed-495b-8093-011d08cca4bf
835,Blues Mambo,blues mambo,blues mambo,Sonny Clark,2170b9c0-4656-4371-a266-d8ff3537a1e8
836,Sweet Georgia Brown,sweet georgia brown,sweet georgia brown,Junior Mance,5e7f4aa7-5c65-46aa-9043-ff96b844c785
837,The Day of Wine and Roses,days of wine roses,days of wine roses,Bill Evans,2d2f7b0f-b2c2-4d39-9beb-3ecf05099e9c
838,Soft Winds,soft winds,soft winds,Oscar Peterson,2018b427-0591-474f-af13-971e55d6d5d8
839,Walking Up,walkin up,walking up,Bill Evans,5e0a4b8d-64bf-4fff-9c0f-17baee4edca7
840,Fantasy in D,fantasy in d,fantasy in d,Cedar Walton,c215a217-0c0c-4500-a909-822fd6e8dfd9
